Email;Klasse;Vorname;Nachname
Imani.Nguyen@gmg.amberg.de;8a;Imani; Nguyen
Jillian.Clark@gmg.amberg.de;8a;Jillian; Clark
Gunnar.Pace@gmg.amberg.de;8b;Gunnar; Pace
Lucian.Odonnell@gmg.amberg.de;8b;Lucian; Odonnell
Chaya.Mann@gmg.amberg.de;8b;Chaya; Mann
Averie.Meyers@gmg.amberg.de;8b;Averie; Meyers
Ronan.Bernard@gmg.amberg.de;8b;Ronan; Bernard
Albert.Navarro@gmg.amberg.de;8b;Albert; Navarro
Garrett.Hampton@gmg.amberg.de;8b;Garrett; Hampton
Malcolm.Hays@gmg.amberg.de;8b;Malcolm; Hays
Neveah.Klein@gmg.amberg.de;8b;Neveah; Klein
Ryleigh.Conner@gmg.amberg.de;8b;Ryleigh; Conner
Yusuf.Page@gmg.amberg.de;8b;Yusuf; Page
Sofia.Klein@gmg.amberg.de;8b;Sofia; Klein
Karlie.Savage@gmg.amberg.de;8b;Karlie; Savage
Tania.Khan@gmg.amberg.de;8b;Tania; Khan
Naomi.Hinton@gmg.amberg.de;9a;Naomi; Hinton
Jesse.Calhoun@gmg.amberg.de;9a;Jesse; Calhoun
Annabel.Dawson@gmg.amberg.de;9a;Annabel; Dawson
Porter.Cummings@gmg.amberg.de;9a;Porter; Cummings
Julianne.Wood@gmg.amberg.de;9a;Julianne; Wood
Jasper.Dixon@gmg.amberg.de;9a;Jasper; Dixon
Cheyanne.Huffman@gmg.amberg.de;9a;Cheyanne; Huffman
Alyssa.Blevins@gmg.amberg.de;9a;Alyssa; Blevins
Kendall.Suarez@gmg.amberg.de;9a;Kendall; Suarez
Tiara.Caldwell@gmg.amberg.de;9a;Tiara; Caldwell
Kiera.Bryant@gmg.amberg.de;9a;Kiera; Bryant
Adalyn.Perez@gmg.amberg.de;9a;Adalyn; Perez
Donte.Ware@gmg.amberg.de;9a;Donte; Ware
Lorelei.Mercer@gmg.amberg.de;9b;Lorelei; Mercer
Molly.Ferrell@gmg.amberg.de;9b;Molly; Ferrell
Harmony.Holloway@gmg.amberg.de;9b;Harmony; Holloway
Samantha.Davis@gmg.amberg.de;9b;Samantha; Davis
Kaylin.Levine@gmg.amberg.de;9b;Kaylin; Levine
Precious.Bean@gmg.amberg.de;9b;Precious; Bean
Cassidy.Patterson@gmg.amberg.de;9b;Cassidy; Patterson
Timothy.Rodgers@gmg.amberg.de;9b;Timothy; Rodgers
Jefferson.Sparks@gmg.amberg.de;9b;Jefferson; Sparks
Quintin.Burgess@gmg.amberg.de;9b;Quintin; Burgess
Angelo.Oliver@gmg.amberg.de;9b;Angelo; Oliver
Haylie.Day@gmg.amberg.de;9b;Haylie; Day
Amir.Salazar@gmg.amberg.de;9b;Amir; Salazar
Darien.Grimes@gmg.amberg.de;9b;Darien; Grimes
Rayan.Wolfe@gmg.amberg.de;9b;Rayan; Wolfe
Aleah.Obrien@gmg.amberg.de;9b;Aleah; Obrien
Elaine.Duran@gmg.amberg.de;9b;Elaine; Duran
Araceli.Mcclure@gmg.amberg.de;9b;Araceli; Mcclure
Dana.Richard@gmg.amberg.de;10a;Dana; Richard
Spencer.Shepherd@gmg.amberg.de;10a;Spencer; Shepherd
Macey.Mcbride@gmg.amberg.de;10a;Macey; Mcbride
Ian.Chavez@gmg.amberg.de;10a;Ian; Chavez
Milo.Marsh@gmg.amberg.de;10a;Milo; Marsh
Damari.Mcgee@gmg.amberg.de;10a;Damari; Mcgee
Ashlyn.Frazier@gmg.amberg.de;10a;Ashlyn; Frazier
Antony.Moss@gmg.amberg.de;10a;Antony; Moss
Hailie.Hudson@gmg.amberg.de;10a;Hailie; Hudson
Penelope.Payne@gmg.amberg.de;10a;Penelope; Payne
Cassius.Wiley@gmg.amberg.de;10a;Cassius; Wiley
Katie.Ray@gmg.amberg.de;10a;Katie; Ray
Dante.Gentry@gmg.amberg.de;10a;Dante; Gentry
Tanya.Li@gmg.amberg.de;10b;Tanya; Li
Essence.Cox@gmg.amberg.de;10b;Essence; Cox
Nathalie.Sweeney@gmg.amberg.de;10b;Nathalie; Sweeney
Abdiel.Lambert@gmg.amberg.de;10b;Abdiel; Lambert
George.Calhoun@gmg.amberg.de;10b;George; Calhoun
Brenden.Griffith@gmg.amberg.de;10b;Brenden; Griffith
Aydan.Hahn@gmg.amberg.de;10b;Aydan; Hahn
Jaxson.Kidd@gmg.amberg.de;10b;Jaxson; Kidd
Karly.Bentley@gmg.amberg.de;10b;Karly; Bentley
Danielle.Guzman@gmg.amberg.de;10b;Danielle; Guzman
Juliet.Buchanan@gmg.amberg.de;10b;Juliet; Buchanan
Edgar.Kim@gmg.amberg.de;10b;Edgar; Kim
Tamara.Garza@gmg.amberg.de;10b;Tamara; Garza
Reese.Conner@gmg.amberg.de;10b;Reese; Conner
Sophia.Riggs@gmg.amberg.de;10b;Sophia; Riggs
Sophie.Cantu@gmg.amberg.de;10b;Sophie; Cantu
Chloe.Haynes@gmg.amberg.de;10b;Chloe; Haynes
Kara.Tucker@gmg.amberg.de;10b;Kara; Tucker
Annabella.Franco@gmg.amberg.de;10b;Annabella; Franco
Angel.Walton@gmg.amberg.de;11;Angel; Walton
Paisley.Baird@gmg.amberg.de;11;Paisley; Baird
Trystan.Schneider@gmg.amberg.de;11;Trystan; Schneider
Amiah.Jensen@gmg.amberg.de;11;Amiah; Jensen
Jaylon.Brandt@gmg.amberg.de;11;Jaylon; Brandt
Ashanti.Chase@gmg.amberg.de;11;Ashanti; Chase
Keith.Mendez@gmg.amberg.de;11;Keith; Mendez
Tripp.Singleton@gmg.amberg.de;11;Tripp; Singleton
Dexter.Jensen@gmg.amberg.de;11;Dexter; Jensen
Morgan.Calderon@gmg.amberg.de;11;Morgan; Calderon
Zion.Gordon@gmg.amberg.de;11;Zion; Gordon
Itzel.Maddox@gmg.amberg.de;11;Itzel; Maddox
Prince.Conner@gmg.amberg.de;11;Prince; Conner
Karla.Fox@gmg.amberg.de;11;Karla; Fox
Kristin.Shelton@gmg.amberg.de;11;Kristin; Shelton
Taliyah.Huerta@gmg.amberg.de;11;Taliyah; Huerta
Deegan.Calderon@gmg.amberg.de;11;Deegan; Calderon
Rosemary.Mercer@gmg.amberg.de;12;Rosemary; Mercer
Trey.Dyer@gmg.amberg.de;12;Trey; Dyer
Peyton.Calderon@gmg.amberg.de;12;Peyton; Calderon
Kamryn.Hart@gmg.amberg.de;12;Kamryn; Hart
Lincoln.Christian@gmg.amberg.de;12;Lincoln; Christian
Jerome.Mcdaniel@gmg.amberg.de;12;Jerome; Mcdaniel
Savannah.Kane@gmg.amberg.de;12;Savannah; Kane
Ari.Michael@gmg.amberg.de;12;Ari; Michael
Natalya.Gallagher@gmg.amberg.de;12;Natalya; Gallagher
Katelyn.Anderson@gmg.amberg.de;12;Katelyn; Anderson
Annabella.Dorsey@gmg.amberg.de;12;Annabella; Dorsey
Leyla.Cowan@gmg.amberg.de;12;Leyla; Cowan
Carly.Mclaughlin@gmg.amberg.de;12;Carly; Mclaughlin
Kiersten.Bullock@gmg.amberg.de;12;Kiersten; Bullock
Avery.Lin@gmg.amberg.de;12;Avery; Lin
